order parameter,grain size,microstrain,file name
0.0,0.0033,1000.0,synthetic_b2_S=0.0_sz=0.003_microstrain=1000.0
0.0,0.0033,4222.222222222223,synthetic_b2_S=0.0_sz=0.003_microstrain=4222.222
0.0,0.0033,7444.444444444444,synthetic_b2_S=0.0_sz=0.003_microstrain=7444.444
0.0,0.0033,10666.666666666666,synthetic_b2_S=0.0_sz=0.003_microstrain=10666.667
0.0,0.0033,13888.888888888889,synthetic_b2_S=0.0_sz=0.003_microstrain=13888.889
0.0,0.0033,17111.11111111111,synthetic_b2_S=0.0_sz=0.003_microstrain=17111.111
0.0,0.0033,20333.333333333332,synthetic_b2_S=0.0_sz=0.003_microstrain=20333.333
0.0,0.0033,23555.555555555555,synthetic_b2_S=0.0_sz=0.003_microstrain=23555.556
0.0,0.0033,26777.777777777777,synthetic_b2_S=0.0_sz=0.003_microstrain=26777.778
0.0,0.0033,30000.0,synthetic_b2_S=0.0_sz=0.003_microstrain=30000.0
0.0,0.005764834394882782,1000.0,synthetic_b2_S=0.0_sz=0.006_microstrain=1000.0
0.0,0.005764834394882782,4222.222222222223,synthetic_b2_S=0.0_sz=0.006_microstrain=4222.222
0.0,0.005764834394882782,7444.444444444444,synthetic_b2_S=0.0_sz=0.006_microstrain=7444.444
0.0,0.005764834394882782,10666.666666666666,synthetic_b2_S=0.0_sz=0.006_microstrain=10666.667
0.0,0.005764834394882782,13888.888888888889,synthetic_b2_S=0.0_sz=0.006_microstrain=13888.889
0.0,0.005764834394882782,17111.11111111111,synthetic_b2_S=0.0_sz=0.006_microstrain=17111.111
0.0,0.005764834394882782,20333.333333333332,synthetic_b2_S=0.0_sz=0.006_microstrain=20333.333
0.0,0.005764834394882782,23555.555555555555,synthetic_b2_S=0.0_sz=0.006_microstrain=23555.556
0.0,0.005764834394882782,26777.777777777777,synthetic_b2_S=0.0_sz=0.006_microstrain=26777.778
0.0,0.005764834394882782,30000.0,synthetic_b2_S=0.0_sz=0.006_microstrain=30000.0
